date,sales
26-06-19,0.2
27-06-19, -   
27-06-19,0.3
27-06-19,0.6
27-06-19,0.1
27-06-19,0.3
27-06-19,0.2
27-06-19,0
27-06-19,0.3
27-06-19,0.3
27-06-19,1
27-06-19,0.7
27-06-19,0.5
27-06-19,0.1
27-06-19,0.1
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.1
28-06-19,0.1
28-06-19,0.2
28-06-19,0.2
28-06-19,0
28-06-19,0.2
28-06-19,0.1
28-06-19,0.1
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.1
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.1
28-06-19,0.1
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.3
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.1
28-06-19,0.2
28-06-19,0.2
28-06-19,0.1
28-06-19,0.5
28-06-19,0.2
28-06-19,0.1
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.1
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.3
28-06-19,0.5
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
29-06-19,0.2
29-06-19,0.4
29-06-19,0.2
29-06-19,0.3
29-06-19,0.3
29-06-19,0.2
29-06-19,0.2
29-06-19,0.2
29-06-19,0.1
29-06-19,4.2
29-06-19,0.1
30-06-19,0
01-07-19,0
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19, -   
02-07-19,0.1
02-07-19,0.8
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.2
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
02-07-19,0.5
02-07-19,0.1
02-07-19,0.1
02-07-19,0.1
03-07-19,0.2
03-07-19,0.2
03-07-19,0.3
03-07-19,0.1
03-07-19,0.3
04-07-19, -   
04-07-19,0.1
04-07-19, -   
04-07-19,0.2
04-07-19,0.1
04-07-19,0.1
04-07-19,0.2
04-07-19,1.3
04-07-19,0.2
04-07-19,1.2
04-07-19,0
04-07-19,0.2
04-07-19,0.8
04-07-19,0.4
04-07-19,0.2
04-07-19,0.1
04-07-19,0.2
05-07-19,0.8
05-07-19,0.7
05-07-19,0.2
05-07-19,0.1
05-07-19,0
05-07-19,0.3
05-07-19,0.1
05-07-19,0.1
06-07-19,0.1
06-07-19,0.1
06-07-19,0.2
06-07-19,0.7
06-07-19,0.4
06-07-19,0.3
06-07-19,0
06-07-19,0.1
06-07-19,0.2
06-07-19,0.1
06-07-19,0.1
06-07-19,0.3
06-07-19,0.2
06-07-19,0.6
07-07-19,0
08-07-19,0.3
08-07-19,0.2
08-07-19,0.1
08-07-19,0.1
08-07-19,0.1
08-07-19,0.1
